Date;SNP500;M2;DJONES;NASDAQ;GS1;USGD;UNEMPL;CPI;FFER
2015-04-01;2085.51;11852.8;17840.52;4941.420000;0.23;19064.8;5.4;2.0631236;0.124666667
2015-05-01;2107.39;11873.4;18010.68;5070.030000;0.24;18957.8;5.6;2.0668869;0.123225806
2015-06-01;2063.11;11947.4;17619.51;4986.870000;0.28;18779.0;5.3;2.1147326;0.129
2015-07-01;2103.84;11949.6;17689.86;5128.280000;0.30;18895.3;5.2;2.1414477;0.130322581
2015-08-01;1972.18;12076.4;16528.03;4776.510000;0.38;18816.9;5.1;2.1802398;0.138064516
2015-09-01;1920.03;12074.0;16284.70;4620.160000;0.37;18932.0;5.0;2.279431;0.136
2015-10-01;2079.36;12132.9;17663.54;5053.750000;0.26;18860.3;5.0;2.3462109;0.123548387
2015-11-01;2080.41;12304.6;17719.92;5108.670000;0.48;19456.9;5.1;2.4052606;0.117666667
2015-12-01;2043.94;12453.0;17425.03;5007.410000;0.65;19477.8;5.0;2.4436874;0.240645161
2016-01-01;1940.24;12412.0;16466.30;4613.950000;0.54;19877.6;4.8;2.4667222;0.342903226
2016-02-01;1932.23;12549.1;16516.50;4557.950000;0.53;20101.6;4.9;2.5442092;0.375172414
2016-03-01;2059.74;12723.6;17685.09;4869.850000;0.66;20265.4;5.0;2.531878;0.362258065
2016-04-01;2065.30;12683.1;17773.64;4775.360000;0.56;20136.5;5.1;2.537996;0.365333333
2016-05-01;2096.96;12676.4;17787.20;4948.050000;0.59;20160.8;4.8;2.5711572;0.36516129
2016-06-01;2098.86;12727.5;17929.99;4842.670000;0.55;20634.8;4.9;2.5689022;0.377666667
2016-07-01;2173.60;12793.1;18432.24;5162.130000;0.51;20717.1;4.8;2.5758512;0.391612903
2016-08-01;2170.95;12916.5;18400.88;5213.220000;0.57;20647.7;4.9;2.7228064;0.396774194
2016-09-01;2168.27;12932.8;18308.15;5312.000000;0.59;20691.4;5.0;2.6321032;0.396333333
2016-10-01;2126.15;13076.0;18142.42;5189.130000;0.66;20721.1;4.9;2.5095184;0.396451613
2016-11-01;2198.81;13184.9;19123.58;5323.680000;0.74;20394.1;4.7;2.5258013;0.406666667
2016-12-01;2238.83;13296.0;19762.60;5383.120000;0.87;20380.8;4.7;2.594944;0.54
2017-01-01;2278.87;13180.5;19864.09;5614.790000;0.83;20361.7;4.7;2.661562;0.649677419
2017-02-01;2363.64;13322.6;20812.24;5825.440000;0.82;20403.5;4.6;2.67446;0.656785714
2017-03-01;2362.72;13470.1;20663.22;5911.740000;1.01;20279.1;4.4;2.453344;0.786129032
2017-04-01;2384.20;13468.6;20940.51;6047.610000;1.04;20348.1;4.4;2.25217;0.896
2017-05-01;2411.80;13453.2;21008.65;6198.520000;1.12;20398.9;4.4;2.155911;0.907419355
2017-06-01;2423.41;13449.4;21349.63;6140.420000;1.20;20328.7;4.3;2.13853;1.04
2017-07-01;2470.30;13580.1;21891.12;6348.120000;1.22;20325.0;4.3;2.146769;1.150645161
2017-08-01;2471.65;13625.6;21948.10;6428.660000;1.23;20473.5;4.4;2.089832;1.157096774
2017-09-01;2519.36;13613.7;22405.09;6495.960000;1.28;20715.0;4.3;2.106697;1.153333333
2017-10-01;2575.26;13711.2;23377.24;6727.670000;1.40;20867.3;4.2;2.192819;1.153870968
2017-11-01;2647.58;13803.6;24272.35;6873.970000;1.56;20969.4;4.2;2.115031;1.157
2017-12-01;2673.61;13934.4;24719.22;6903.390000;1.70;20904.4;4.1;2.125472;1.301612903
2018-01-01;2823.81;13745.1;26149.39;7411.480000;1.80;20673.2;4.0;2.166305;1.414516129
2018-02-01;2713.83;13841.0;25029.20;7273.010000;1.96;20875.2;4.1;2.131896;1.4175
2018-03-01;2640.87;13994.3;24103.11;7063.440000;2.06;21216.0;4.0;2.369197;1.506129032
2018-04-01;2648.05;13915.7;24163.15;7066.266000;2.15;21024.2;4.0;2.493423;1.692333333
2018-05-01;2705.27;13958.9;24415.84;7442.117000;2.27;21182.2;3.8;2.544991;1.7
2018-06-01;2718.37;13987.3;24271.41;7510.305000;2.33;21238.4;4.0;2.553219;1.819666667
2018-07-01;2816.29;14069.7;25415.19;7671.789000;2.39;21255.6;3.8;2.519634;1.91
2018-08-01;2901.52;14130.4;25964.82;8109.535000;2.45;21480.7;3.8;2.432878;1.91483871
2018-09-01;2913.98;14113.1;26458.31;8046.352000;2.56;21353.1;3.7;2.461933;1.954666667
2018-10-01;2711.74;14152.2;25115.76;7305.898000;2.65;21419.9;3.8;2.414988;2.187741935
2018-11-01;2760.17;14221.3;25538.46;7330.535000;2.70;21683.9;3.8;2.476794;2.197666667
2018-12-01;2506.85;14529.5;23327.46;6635.277000;2.66;22075.2;3.9;2.46437;2.274193548
2019-01-01;2704.10;14324.5;24999.67;7281.738000;2.58;22160.0;4.0;2.385533;2.4
2019-02-01;2784.49;14373.7;25916.00;7532.531000;2.55;22221.4;3.8;2.376648;2.4
2019-03-01;2834.40;14532.7;25928.68;7729.320000;2.49;22425.2;3.8;2.399684;2.40516129
2019-04-01;2945.83;14475.5;26592.91;8095.387000;2.42;22346.6;3.6;2.407927;2.423666667
2019-05-01;2752.06;14565.3;24815.04;7453.148000;2.34;22700.3;3.7;2.39723;2.390967742
2019-06-01;2941.76;14659.0;26599.96;8006.242000;2.00;22805.1;3.6;2.421751;2.377666667
2019-07-01;2980.38;14789.1;26864.27;8175.418000;1.96;22766.5;3.7;2.460848;2.402903226
2019-08-01;2926.46;14831.4;26403.28;7962.883000;1.77;23773.1;3.7;2.629246;2.125806452
2019-09-01;2976.74;15012.9;26916.83;7999.340000;1.80;23825.8;3.5;2.606767;2.043
2019-10-01;3037.56;15077.4;27046.23;8292.359000;1.61;24087.0;3.6;2.733341;1.829677419
2019-11-01;3140.98;15231.3;28051.41;8665.473000;1.57;24081.4;3.6;2.768217;1.553333333
2019-12-01;3230.78;15452.4;28538.44;8972.605000;1.55;24069.1;3.6;2.746361;1.550967742
2020-01-01;3225.52;15294.0;28256.03;9150.938000;1.53;24535.1;3.5;2.797067;1.550645161
2020-02-01;2954.22;15328.1;25409.36;8567.367000;1.41;25136.5;3.5;2.812936;1.583103448
2020-03-01;2584.59;16614.3;21917.16;7700.098000;0.33;25887.4;4.4;2.647379;0.652258065
2020-04-01;2912.43;17318.7;24345.72;8889.551000;0.18;27198.4;14.7;2.226352;0.049
2020-05-01;3044.31;17780.1;25383.11;9489.871000;0.16;27919.7;13.2;2.084208;0.05
2020-06-01;3100.29;18155.5;25812.88;10058.766000;0.18;28646.5;11.0;2.058146;0.077666667
2020-07-01;3271.12;18108.3;26428.32;10745.273000;0.15;28923.7;10.2;2.348857;0.092580645
2020-08-01;3500.31;18376.9;28430.05;11775.457000;0.13;28872.7;8.4;2.288978;0.09516129
2020-09-01;3363.00;18488.3;27781.70;11167.508000;0.13;29077.8;7.9;2.077391;0.09
2020-10-01;3269.96;18640.9;26501.60;10911.590000;0.13;29044.9;6.9;1.842159;0.09
